PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
Kepler-117 b,0,0.094,0.719,18.7959228,0.1445,0.0493,,,,88.74,984,,transit,2014,14/11/17,19 15 10.326,+48 02 24.81,1430,1.129,1.606,-0.04,6150,5.3,Confirmed planets
KOI-142 b,0,0.0055264,0.37647,10.9542,0.098,0.0561,90.7,6.425,270,0.931,791,,transit,2013,13/04/17,19 24 35,+40 40 09,385,1.022,0.961,0.37,5513,2.45,Confirmed planets
KOI-142 c,0,0.76,,22.1,0.1529,0.05628,271.1,253,259,3.7,,,timing,2013,13/04/17,19 24 35,+40 40 09,385,1.022,0.961,0.37,5513,2.45,Confirmed planets
Kepler-1082 b,0,,0.1,1.5432066,,,,,,,,,transit,2016,16/05/10,19 17 26,+50 35 55,,1.03,1.14,-0.06,5923,,Confirmed planets
HD 8535 b,0,0.68,,1313,2.45,0.15,,,,,188.3,,RV,2009,10/09/08,01 23 37,-41 16 11,52.5,1.13,1.19,0.02,6136,,Confirmed planets
Kepler-844 b,0,,0.15,2.61302086,,,,,,,,,transit,2016,16/05/10,19 11 26,+48 46 27,,0.59,0.57,-0.24,4128,,Confirmed planets
HD 17092 b,0,4.6,,359.9,1.29,0.166,,,,,513.6,,RV,2007,07/05/07,02 46 22,+49 39 11,109,2.3,,0.18,4650,,Confirmed planets
HD 154088 b,0,0.0193,,18.596,0.1316,0.38,,,,,643.6,,RV,2011,11/09/12,17 04 28,-28 34 58,17.8,,,,5150,,Confirmed planets
Kepler-1386 b,0,,0.111,6.73972381,,,,,,,,,transit,2016,16/05/10,18 43 18,+42 38 10,,1.02,1.03,0.11,5733,,Confirmed planets
HD 86081 b,0,1.5,,2.1375,0.039,0.008,,,,,1486.6,,RV,2006,10/12/22,09 56 06,-03 48 30,91,1.21,1.22,0.257,6028,,Confirmed planets
Kepler-806 b,0,,0.102,8.09219642,,,,,,,,,transit,2016,16/05/10,19 44 02,+44 51 12,,0.99,1.16,0,5770,,Confirmed planets
Kepler-364 c,0,,0.19593,59.980627,,,,,,,,,transit,2014,14/02/26,18 46 16,+47 23 55,872.59,1.2,1.284,,6108,,Confirmed planets
Kepler-364 b,0,,0.14125,25.745718,,,,,,,,,transit,2014,14/02/26,18 46 16,+47 23 55,872.59,1.2,1.284,,6108,,Confirmed planets
Kepler-981 b,0,,0.206,4.46975774,,,,,,,,,transit,2016,16/05/10,19 16 59.7,+47 39 00,,0.98,0.96,0.01,5718,,Confirmed planets
HATS-20 b,0,0.273,0.776,3.7992969,0.04619,0.5,,,,87.16,,,transit,2016,16/07/11,13 12 32,-45 24 34,454,0.91,0.892,0.03,5406,6.4,Confirmed planets
Kepler-1448 b,0,,0.144,12.27065865,,,,,,,,,transit,2016,16/05/10,19 11 28,+50 35 44,,0.95,0.93,-0.16,5774,,Confirmed planets
Kepler-965 b,0,,0.302,134.2527298,,,,,,,,,transit,2016,16/05/10,19 54 04,+41 53 28,,1.05,1.15,0.03,5886,,Confirmed planets
Kepler-438 b,0,,0.1,35.23319,0.166,,,,,89.86,,,transit,2015,15/01/28,18 46 35.00,+41 57 03.9,145,0.544,0.52,0.16,3748,4.4,Confirmed planets
Kepler-1521 b,0,,0.223,47.14840805,,,,,,,,,transit,2016,16/05/10,19 30 46,+37 50 06,,0.81,0.76,-0.05,5042,,Confirmed planets
Gliese 3021 A b,2,3.37,,133.71,0.49,0.511,,,,,,,RV,2000,14/06/24,00 16 12,-79 51 04,17.62,0.9,0.9,0.1,5540,0.8,"Confirmed planets, Planets in binary systems, S-type"
