PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
HD 143761 b,0,1.045,,39.8458,0.2196,0.037,270.6,,,,,,RV,2016,16/07/11,16 01 03,+33 18 13,17.236,0.889,1.362,-0.31,5627,,Confirmed planets
HD 143761 c,0,0.079,,102.54,0.4123,0.05,190,,,,,,RV,2016,16/07/11,16 01 03,+33 18 13,17.236,0.889,1.362,-0.31,5627,,Confirmed planets
KOI-1843.03,0,0.0014,0.054,0.1768913,0.0048,,,,,72,,,transit,2012,13/07/15,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
KOI-1843.01,0,,0.114,4.194525,0.039,,,,,89.38,,,transit,,,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
KOI-1843.02,0,,0.071,6.356006,0.052,,,,,88.24,,,transit,,,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
HD 4203 b,0,1.82,,437.05,1.1735,0.52,,,,,263.9,,RV,2001,14/03/11,00 44 41,+20 26 56,77.82,1.13,1.33,0.453,5702,,Confirmed planets
HD 4203 c,0,2.17,,6700,6.95,0.24,,,,,,,RV,2014,14/03/11,00 44 41,+20 26 56,77.82,1.13,1.33,0.453,5702,,Confirmed planets
HD 179079 b,0,0.08,,14.476,0.11,0.115,,,,,925,,RV,2009,09/08/13,19 11 10,-02 38 18,63.69,1.087,1.48,0.29,5724,,Confirmed planets
Kepler-1368 b,0,,0.147,0.67564949,,,,,,,,,transit,2016,16/05/10,19 39 04,+41 38 41,,1.07,1.08,0.1,5906,,Confirmed planets
HD 187123 b,0,0.5074,,3.0965886,0.04213,0.0093,360,,,,,,RV,1998,15/08/15,19 46 58.1,+34 25 10.3,48.3,1.037,1.143,0.121,5815,,Confirmed planets
HD 187123 c,0,1.818,,3324,4.417,0.28,258.5,,,,,,RV,2007,15/08/15,19 46 58.1,+34 25 10.3,48.3,1.037,1.143,0.121,5815,,Confirmed planets
Kepler-1111 b,0,,0.178,8.79617863,,,,,,,,,transit,2016,16/05/10,19 41 51,+45 48 46,,1.1,1.15,0.02,6077,,Confirmed planets
Kepler-1289 b,0,,0.136,7.99019627,,,,,,,,,transit,2016,16/05/10,19 45 33,+41 02 26,,1.1,1.17,0.02,6080,,Confirmed planets
Kepler-431 b,0,,0.0682,6.803,0.0719,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-431 c,0,,0.0596,8.703,0.0847,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-431 d,0,,0.099,11.922,0.1045,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-131 b,0,0.05074,0.219624,16.092,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685,3.66,Confirmed planets
Kepler-131 c,0,0.025952,0.076549,25.5169,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685,3.66,Confirmed planets
Kepler-548 b,0,,1.07,4.45419434,,,,,,,,,transit,2016,16/05/10,19 59 37,+45 26 23,,0.93,0.9,0,5535,,Confirmed planets
HD 114729 A b,2,0.84,,1135,2.08,0.32,,,,,,,RV,2002,12/12/08,13 12 44,-31 52 24,35,0.93,1.46,-0.22,,6,"Confirmed planets, Planets in binary systems, S-type"
CoRoT-24 b,0,,0.33,5.1134,0.056,0,,,,86.5,1070,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11,Confirmed planets
CoRoT-24 c,0,0.088,0.44,11.759,0.098,0,,,,89,850,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11,Confirmed planets
Kepler-1105 b,0,,0.179,4.42157218,,,,,,,,,transit,2016,16/05/10,18 44 27,+42 27 18,,0.71,0.68,0.28,4299,,Confirmed planets
Kepler-211 c,0,,0.11756,6.04045,,,,,,,,,transit,2014,14/02/26,19 01 45,+43 10 06,327.93,0.914,0.816,,5123,,Confirmed planets
Kepler-211 b,0,,0.11482,4.138575,,,,,,,,,transit,2014,14/02/26,19 01 45,+43 10 06,327.93,0.914,0.816,,5123,,Confirmed planets
Kepler-294 c,0,,0.24696,6.6264,,,,,,,,,transit,2014,14/02/26,19 09 34,+46 03 33,1698.68,0.994,0.976,,5913,,Confirmed planets
Kepler-294 b,0,,0.1613,3.701212,,,,,,,,,transit,2014,14/02/26,19 09 34,+46 03 33,1698.68,0.994,0.976,,5913,,Confirmed planets
Kepler-327 b,0,,0.10115,2.549575,,,,,,,,,transit,2014,14/02/26,19 30 34,+44 05 15,241.74,0.547,0.492,,3799,,Confirmed planets
Kepler-327 d,0,,0.15766,13.969457,,,,,,,,,transit,2014,14/02/26,19 30 34,+44 05 15,241.74,0.547,0.492,,3799,,Confirmed planets
Kepler-327 c,0,,0.09386,5.212333,,,,,,,,,transit,2014,14/02/26,19 30 34,+44 05 15,241.74,0.547,0.492,,3799,,Confirmed planets
Kepler-1071 b,0,,0.212,6.1799844,,,,,,,,,transit,2016,16/05/10,19 32 14,+45 14 56,,0.86,0.81,0.01,5215,,Confirmed planets
Kepler-101 b,0,0.161,0.515,3.4876812,0.0474,0.086,231,,,85.82,,,transit,2014,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667,5.9,Confirmed planets
Kepler-101 c,0,,0.112,6.02976,0.0684,,,,,84.6,,,transit,2014,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667,5.9,Confirmed planets
Kepler-156 c,0,,0.23238,15.906801,,,,,,,,,transit,2014,14/02/26,19 21 11,+37 44 58,482.88,0.737,0.807,,5094,,Confirmed planets
Kepler-156 b,0,,0.2096,4.973456,,,,,,,,,transit,2014,14/02/26,19 21 11,+37 44 58,482.88,0.737,0.807,,5094,,Confirmed planets
HIP 11952 b,0,2.93,,290,0.81,0.27,,,,,372.6,,RV,2012,13/02/14,02 34 11,-12 23 03,111,0.83,1.6,-1.9,6040,,Controversial
HIP 11952 c,0,0.78,,6.95,0.07,0.35,,,,,1263.2,,RV,2012,13/02/14,02 34 11,-12 23 03,111,0.83,1.6,-1.9,6040,,Controversial
HD 122430 b,0,3.71,,344.95,1.02,0.68,,,,,868.8,,RV,2003,15/05/24,14 02 22,-27 25 47,135,1.68,22.9,-0.09,4300,,Controversial
Kepler-827 b,0,,0.502,51.92927591,,,,,,,,,transit,2016,16/05/10,19 39 52,+42 42 31,,0.93,0.91,-0.06,5602,,Confirmed planets
Kepler-344 b,0,,0.23785,21.963945,,,,,,,,,transit,2014,14/02/26,19 29 59,+46 19 27,1307.52,0.93,0.976,,5774,,Confirmed planets
Kepler-344 c,0,,0.26883,125.596809,,,,,,,,,transit,2014,14/02/26,19 29 59,+46 19 27,1307.52,0.93,0.976,,5774,,Confirmed planets
Kepler-859 b,0,,0.276,20.38177573,,,,,,,,,transit,2016,16/05/10,19 06 58,+43 11 24,,0.81,0.77,-0.02,5020,,Confirmed planets
Kepler-227 b,0,,0.28342,9.488015,,,,,,,,,transit,2014,14/02/26,19 27 44,+48 08 29,1481.07,0.92,1.091,,5854,,Confirmed planets
Kepler-227 c,0,,0.27704,54.418694,,,,,,,,,transit,2014,14/02/26,19 27 44,+48 08 29,1481.07,0.92,1.091,,5854,,Confirmed planets
Kepler-843 b,0,,0.231,2.05387982,,,,,,,,,transit,2016,16/05/10,19 45 17,+48 58 17,,1.02,1.03,0.05,5830,,Confirmed planets
Kepler-404 b,0,,0.11574,11.829851,,,,,,,,,transit,2014,14/02/26,19 05 35,+45 20 36,1059.76,0.925,0.884,,5654,,Confirmed planets
Kepler-404 c,0,,0.15674,14.751166,,,,,,,,,transit,2014,14/02/26,19 05 35,+45 20 36,1059.76,0.925,0.884,,5654,,Confirmed planets
Kepler-1483 b,0,,0.136,9.5085156,,,,,,,,,transit,2016,16/05/10,19 41 38,+42 09 03,,1.25,1.4,0.04,6337,,Confirmed planets
Gliese 86 b,2,3.91,,15.76491,0.113,0.0416,269,,,,,,RV,2000,16/02/03,02 10 25.93425,-50 49 25.4179,10.783,0.8,0.855,-0.24,5188,2.5,"Confirmed planets, Planets in binary systems, S-type"
Kepler-1314 b,0,,0.456,5.42474928,,,,,,,,,transit,2016,16/05/10,19 36 57,+45 11 50,,0.6,0.59,-0.22,4188,,Confirmed planets
Kepler-1099 b,0,,0.252,2.16845259,,,,,,,,,transit,2016,16/05/10,19 14 59.9,+48 16 38,,1.01,1,-0.02,5837,,Confirmed planets
HD 145377 b,0,5.76,,103.95,0.45,0.307,138.1,,,,,,RV,2008,15/11/17,16 11 36.44543,-27 04 41.4286,55,1.12,1.14,0.12,6046,1.3,Confirmed planets
HD 75289 A b,2,0.42,,3.5098,0.046,0.024,,,,,,,RV,1999,12/12/08,08 47 40,-41 44 12,28.94,1.05,1.25,0.29,,,"Confirmed planets, Planets in binary systems, S-type"
HD 5608 b,0,1.4,,792.6,1.9,0.19,269,,,,,,RV,2012,15/11/02,00 58 14.21893,+33 57 03.1843,56.4,1.55,5.5,0.06,4854,,Confirmed planets
HATS-28 b,0,0.672,1.194,3.1810781,0.04131,0.101,,,,86.17,,,transit,2016,16/07/28,18 57 36,-49 51 41,521,0.929,0.922,0.01,5498,6.2,Confirmed planets
Kepler-1187 b,0,,0.233,18.87064068,,,,,,,,,transit,2016,16/05/10,19 07 34,+38 19 07,,1.06,1.09,-0.01,5975,,Confirmed planets
HD 68988 b,0,1.9,,6.276,0.071,0.14,,,,,1017.7,,RV,2001,10/12/30,08 18 22,+61 27 38,58,1.2,1.14,0.24,5767,,Confirmed planets
Kepler-1612 b,0,,0.092,3.91795101,,,,,,,,,transit,2016,16/05/10,19 25 00,+45 39 18,,0.96,0.94,0.03,5643,,Confirmed planets
Kepler-603 d,0,,0.118,6.2171292,,,,,,,,,transit,2016,16/05/10,19 37 07,+42 17 27,,1.01,1.01,0.03,5808,,Confirmed planets
Kepler-579 b,0,,0.178,9.66857723,,,,,,,,,transit,2016,16/05/10,19 40 00,+39 57 11,,0.99,0.96,0.13,5636,,Confirmed planets
HD 106315 b,0,0.025,0.199,9.5521,0.09012,0.3,72,,,88.4,,,,2017,17/01/17,12 13 53,+00 36 23,107.3,1.07,1.18,-0.24,6290,4,Confirmed planets
HD 106315 c,0,0.063,0.352,21.0576,0.1526,0.23,106,,,89.42,,,,2017,17/01/17,12 13 53,+00 36 23,107.3,1.07,1.18,-0.24,6290,4,Confirmed planets
Kepler-1049 b,0,,0.085,3.27346074,,,,,,,,,transit,2016,16/05/10,19 09 23,+47 46 23,,0.51,0.49,-0.33,3864,,Confirmed planets
EPIC 206011691 b,0,,0.142,9.32414,0.0731,,,,,88.3,,,transit,2015,15/07/31,22 41 12.89,-14 29 20.35,65,0.64,0.6,-0.11,4043,,Confirmed planets
EPIC 206011691 c,0,,0.171,15.5012,0.1026,,,,,89.08,,,transit,2015,15/07/31,22 41 12.89,-14 29 20.35,65,0.64,0.6,-0.11,4043,,Confirmed planets
Kepler-794 b,0,,0.188,11.13125132,,,,,,,,,transit,2016,16/05/10,19 12 32,+38 59 49,,1.19,1.38,0.34,5839,,Confirmed planets
Kepler-756 b,0,,0.1,1.22486632,,,,,,,,,transit,2016,16/05/10,19 22 26,+41 12 04,,0.82,0.79,-0.19,5282,,Confirmed planets
Kepler-784 b,0,,0.141,31.5922646,,,,,,,,,transit,2016,16/05/10,19 43 41,+47 26 55,,1,1.32,0.07,5674,,Confirmed planets
WASP-62 b,0,0.57,1.39,4.411953,0.0567,0,,,,88.3,1305.2,,transit,2011,12/04/24,05 48 33.59,-63 59 18.3,160,1.25,1.28,0.04,6230,,Confirmed planets
Kepler-150 c,0,,0.33627,7.381998,,,,,,,,,transit,2014,14/02/26,19 12 56,+40 31 15,973.33,0.97,0.939,,5560,,Confirmed planets
Kepler-150 d,0,,0.25425,12.56093,,,,,,,,,transit,2014,14/02/26,19 12 56,+40 31 15,973.33,0.97,0.939,,5560,,Confirmed planets
Kepler-150 e,0,,0.28433,30.826557,,,,,,,,,transit,2014,14/02/26,19 12 56,+40 31 15,973.33,0.97,0.939,,5560,,Confirmed planets
Kepler-150 b,0,,0.11391,3.428054,,,,,,,,,transit,2014,14/02/26,19 12 56,+40 31 15,973.33,0.97,0.939,,5560,,Confirmed planets
Kepler-663 b,0,,0.232,4.99678284,,,,,,,,,transit,2016,16/05/10,19 51 14,+47 56 48,,0.86,0.82,0.03,5264,,Confirmed planets
WASP-14 b,2,7.341,1.281,2.2437661,0.036,0.087,,,,84.79,1718.8,,transit,2008,12/04/08,14 33 06,+21 53 41,160,1.211,1.306,,6462,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-708 b,0,,0.261,3.16789194,,,,,,,,,transit,2016,16/05/10,19 35 16,+42 12 45,,0.97,0.96,0.01,5692,,Confirmed planets
HD 2952 b,0,1.6,,311.6,1.2,0.129,64,,,,,,RV,2013,13/04/17,00 33 10,+54 53 41,115,2.5,12.02,0,4844,,Confirmed planets
WASP-127 b,0,0.18,1.37,4.178062,0.052,,,,,88.7,,,transit,2016,16/07/27,10 42 14,-03 09 54,,1.08,1.39,,5620,11.41,Confirmed planets
Kepler-699 b,0,,1.259,27.80756293,,,,,,,,,transit,2016,16/05/10,19 47 33,+41 23 46,,0.81,0.78,-0.26,5330,,Confirmed planets
Kepler-791 b,0,,0.272,14.5539759,,,,,,,,,transit,2016,16/05/10,19 34 23,+39 01 46,,1.3,1.47,0.06,6383,,Confirmed planets
Kepler-173 c,0,,0.22145,8.005777,,,,,,,,,transit,2014,14/02/26,19 38 35,+41 53 02,809.64,1.06,0.949,,6031,,Confirmed planets
Kepler-173 b,0,,0.11756,4.263742,,,,,,,,,transit,2014,14/02/26,19 38 35,+41 53 02,809.64,1.06,0.949,,6031,,Confirmed planets
Kepler-611 b,0,,0.147,2.4370333,,,,,,,,,transit,2016,16/05/10,19 04 01,+45 28 49,,1.01,1.01,0.06,5761,,Confirmed planets
KOI-1299 b,2,4.87,1.12,52.50097,0.3034,0.535,,,,88.9,,,transit,2014,14/10/14,19 33 07.73,+48 17 09.2,870,1.353,4.16,-0.07,4850,3.5,"Confirmed planets, Planets in binary systems, S-type"
KOI-1299 c,2,2.43,,406.2,,0.498,60.8,,,,,,RV,2014,15/02/03,19 33 07.73,+48 17 09.2,870,1.353,4.16,-0.07,4850,3.5,"Controversial, Planets in binary systems, S-type"
Kepler-34 (AB) b,1,0.22,0.764,288.822,1.0896,0.182,,,,90.355,,,transit,2012,12/01/11,19 45 45,+44 38 30,1500,,,,,,"Confirmed planets, Planets in binary systems, P-type"
Rho Coronae Borealis b,0,169.7,,39.8449,0.24,0.057,303,,266.4,0.4,,,RV,1997,15/04/20,16 01 02.662,+33 18 12.63,17.24,1,,,5823,,Controversial
Kepler-260 b,0,,0.18317,8.187399,,,,,,,,,transit,2014,14/02/26,19 27 42,+38 00 50,539.35,0.9,0.862,,5250,,Confirmed planets
Kepler-260 c,0,,0.15857,76.050178,,,,,,,,,transit,2014,14/02/26,19 27 42,+38 00 50,539.35,0.9,0.862,,5250,,Confirmed planets
Kepler-906 b,0,,0.188,41.6979976,,,,,,,,,transit,2016,16/05/10,19 25 37,+40 07 32,,1.06,1.02,-0.09,6035,,Confirmed planets
KELT-10 b,0,0.679,1.399,4.166286,0.0525,0,,,,88.63,1377,,transit,2015,15/09/08,18 58 11.601,-47 00 11.68,183,1.112,1.209,0.09,5948,,Confirmed planets
Gliese 3634 b,0,0.022,,2.64561,0.0287,0.08,,,,59,565.4,,RV,2011,11/02/07,10 58 35,-31 08 39,19.8,0.45,0.43,,3314,,Confirmed planets
Kepler-504 b,0,,0.142,9.54927542,,,,,,,,,transit,2016,16/05/10,18 59 41,+45 58 21,,0.33,0.33,-0.31,3519,,Confirmed planets
HD 156279 b,0,9.71,,131.05,0.495,0.708,,,,,327.8,,RV,2011,11/11/04,17 12 23,+63 21 08,36.6,0.93,,0.14,5453,,Confirmed planets
Kepler-864 b,0,,0.214,5.83376092,,,,,,,,,transit,2016,16/05/10,19 00 14,+46 19 14,,1,1,0.04,5754,,Confirmed planets
Kepler-247 c,0,,0.37272,9.439452,,,,,,,,,transit,2014,14/02/26,19 14 34,+43 02 21,695.58,0.773,0.768,,5100,,Confirmed planets
Kepler-247 d,0,,0.35905,20.477912,,,,,,,,,transit,2014,14/02/26,19 14 34,+43 02 21,695.58,0.773,0.768,,5100,,Confirmed planets
Kepler-247 b,0,,0.14945,3.33616,,,,,,,,,transit,2014,14/02/26,19 14 34,+43 02 21,695.58,0.773,0.768,,5100,,Confirmed planets
Kepler-942 b,0,,0.19,44.96417488,,,,,,,,,transit,2016,16/05/10,19 39 49,+44 08 59,,0.81,0.75,0.09,4861,,Confirmed planets
Kepler-166 b,0,,0.20687,7.650254,,,,,,,,,transit,2014,14/02/26,19 32 38,+48 52 52,639.62,0.879,0.742,,5413,,Confirmed planets
Kepler-166 c,0,,0.21689,34.260281,,,,,,,,,transit,2014,14/02/26,19 32 38,+48 52 52,639.62,0.879,0.742,,5413,,Confirmed planets
Kepler-166 d,0,,0.154,1.55400393,,,,,,,,,transit,2016,16/05/10,19 32 38,+48 52 52,639.62,0.879,0.742,,5413,,Confirmed planets
Kepler-819 b,0,,0.246,33.1995648,,,,,,,,,transit,2016,16/05/10,19 41 29,+39 10 38,,0.86,0.81,-0.06,5279,,Confirmed planets
Kepler-554 b,0,,0.383,1.90220856,,,,,,,,,transit,2016,16/05/10,19 45 38,+51 21 29,,0.93,0.92,0.14,5447,,Confirmed planets
Kepler-8 b,0,0.59,1.42,3.52254,0.0483,0,,,,84.07,1519.5,,transit,2010,15/12/03,18 45 09,+42 27 04,1330,1.13,1.45,0.05,6251,,Confirmed planets
HAT-P-56 b,0,2.18,1.466,2.7908327,0.0423,,,,,82.13,1840,,transit,2015,15/06/05,06 43 23.52950,+27 15 08.2182,310.5,1.296,1.428,,6566,2.01,Confirmed planets
Kepler-266 b,0,,0.226,6.61833,,,,,,,,,transit,2014,14/02/26,19 37 56,+44 10 00,1577.36,1.06,1.028,,5885,,Confirmed planets
Kepler-266 c,0,,0.3545,107.723601,,,,,,,,,transit,2014,14/02/26,19 37 56,+44 10 00,1577.36,1.06,1.028,,5885,,Confirmed planets
Kepler-920 b,0,,0.216,6.53192704,,,,,,,,,transit,2016,16/05/10,18 57 11,+49 09 31,,0.89,0.85,0,5403,,Confirmed planets
Kepler-920 c,0,,0.339,100.8274113,,,,,,,,,transit,2016,16/05/10,18 57 11,+49 09 31,,0.89,0.85,0,5403,,Confirmed planets
Kepler-890 b,0,,0.793,52.75875577,,,,,,,,,transit,2016,16/05/10,19 13 45,+43 45 49,,1.09,1.13,0.09,5954,,Confirmed planets
HD 12661 b,0,2.3,,263.6,0.83,0.377,,,,,291.4,,RV,2000,11/01/04,02 04 34,+25 24 51,37.16,1.07,1.12,0.29,5742,,Confirmed planets
HD 12661 c,0,1.57,,1708,2.56,0.031,,,,,167.5,,RV,2002,11/01/04,02 04 34,+25 24 51,37.16,1.07,1.12,0.29,5742,,Confirmed planets
Kepler-1065 c,0,,0.143,2.37030743,,,,,,,,,transit,2016,16/05/10,19 38 03,+38 47 26,,0.94,0.93,-0.01,5635,,Confirmed planets
CVSO 30 b,0,6.2,1.91,0.448413,0.00838,,,,,61.8,,,transit,2012,16/06/12,05 25 08,+01 34 24,330,0.39,1.39,,3740,0.00265,Confirmed planets
CVSO 30 c,0,4.7,1.63,,662,,,,,,1600,,imaging,2016,16/06/12,05 25 08,+01 34 24,330,0.39,1.39,,3740,0.00265,Confirmed planets
HD 175167 b,0,7.8,,1290,2.4,0.54,,,,,154,,RV,2010,10/01/26,19 00 01,-69 56 39,67.02,1.102,,0.19,5940,,Confirmed planets
Kepler-725 b,0,,0.948,39.64317811,,,,,,,,,transit,2016,16/05/10,18 55 55,+44 48 42,,0.88,0.84,-0.01,5363,,Confirmed planets
Kepler-1394 b,0,,0.124,3.93766373,,,,,,,,,transit,2016,16/05/10,18 53 49,+45 05 03,,1.64,2.55,0.06,6481,,Confirmed planets
Kepler-795 b,0,,0.15,29.6193421,,,,,,,,,transit,2016,16/05/10,19 24 05,+38 32 44,,0.94,0.96,-0.02,5631,,Confirmed planets
Kepler-94 b,0,0.034099,0.319867,2.50806,,,,,,,,,transit,2014,14/02/24,18 44 47,+47 29 49,223,0.81,0.76,0.34,4781,1.41,Confirmed planets
Kepler-94 c,0,9.83346,,820.3,,,,,,,,,RV,2014,14/02/24,18 44 47,+47 29 49,223,0.81,0.76,0.34,4781,1.41,Confirmed planets
TYC 3667-1280-1 b,0,5.4,,26.468,0.21,0.036,240,,,,,,RV,2016,16/04/11,00 51 32.9649,+58 25 34.268,481,1.87,6.26,-0.08,5130,1.3,Confirmed planets
Kepler-1329 b,0,,0.194,9.33646594,,,,,,,,,transit,2016,16/05/10,18 46 35,+48 16 16,,0.72,0.69,0.02,4500,,Confirmed planets
HD 202206 b,0,17.4,,255.87,0.83,0.435,,,,,277.6,,RV,2002,10/12/30,21 14 57,-20 47 21,46.34,1.13,1.02,0.37,5750,,Confirmed planets
HD 202206 c,0,2.44,,1383.4,2.55,0.267,,,,,159.6,,RV,2004,10/12/30,21 14 57,-20 47 21,46.34,1.13,1.02,0.37,5750,,Confirmed planets
Kepler-918 b,0,,0.155,4.85386933,,,,,,,,,transit,2016,16/05/10,19 52 48,+48 16 04,,1.11,1.14,0.06,6028,,Confirmed planets
Kepler-1326 b,0,,0.373,42.3514267,,,,,,,,,transit,2016,16/05/10,19 44 53,+39 16 08,,1.45,1.74,0.02,6725,,Confirmed planets
Kepler-924 b,0,,0.274,61.0370117,,,,,,,,,transit,2016,16/05/10,19 22 40,+40 23 52,,1.14,1.23,0.01,6167,,Confirmed planets
Kepler-1255 b,0,,0.207,36.2919336,,,,,,,,,transit,2016,16/05/10,19 40 57,+42 43 35,,1.08,1.12,0.02,6018,,Confirmed planets
EPIC 211990866 b,0,,0.31,1.673916,,0.24,,,,85.1,,,,2016,16/09/07,08 38 24,+20 06 22,,1.18,1.19,,6120,0.8,Confirmed planets
EPIC 201828749 b,2,,0.353,33.51569,0.1875,,,,,,613,,transit,2015,15/07/07,11 42 37.042,+05 53 39.56,146,0.74,0.71,-0.69,5552,,"Controversial, Planets in binary systems, S-type"
HD 131664 b,0,85.2,,1951,3.17,0.638,149.7,,320.8,167.1,,,RV,,15/01/14,15 00 06.08,-73 32 07.2,55.43,1.1,1.16,0.32,5886,2.4,Controversial
Kepler-728 b,0,,0.298,5.74347727,,,,,,,,,transit,2016,16/05/10,19 24 22,+45 06 56,,0.95,0.93,-0.03,5660,,Confirmed planets
wasp-92 b,0,0.805,1.461,2.1746742,0.0348,0,,,,83.75,,,transit,2016,16/08/19,16 26 46,+51 02 28,530,1.19,1.341,0,6280,,Confirmed planets
OGLE-2015-BLG-0954L b,0,4.4,,,1.2,,,,,,,,,2016,16/03/02,18 00 44,-28 20 21,600,0.37,,,,,Confirmed planets
Kepler-968 b,0,,0.178,3.69298373,,,,,,,,,transit,2016,16/05/10,19 02 25,+50 06 43,,0.76,0.7,0.13,4598,,Confirmed planets
Kepler-968 c,0,,0.151,5.70940492,,,,,,,,,transit,2016,16/05/10,19 02 25,+50 06 43,,0.76,0.7,0.13,4598,,Confirmed planets
Kepler-1085 b,0,,0.644,219.3217528,,,,,,,,,transit,2016,16/05/10,19 09 55,+46 08 28,,1.11,1.14,0.08,6000,,Confirmed planets
Kepler-709 b,0,,0.261,16.08524954,,,,,,,,,transit,2016,16/05/10,19 28 25,+42 22 49,,0.8,0.77,-0.08,5071,,Confirmed planets
Kepler-1639 b,0,,0.23,9.878482,,,,,,,,,transit,2016,16/05/10,18 52 16,+48 48 08,,1.12,1.18,-0.03,6150,,Confirmed planets
Kepler-1256 b,0,,0.133,12.4127754,,,,,,,,,transit,2016,16/05/10,19 25 54,+44 41 01,,1.17,1.36,0.05,6129,,Confirmed planets
Kepler-977 b,0,,0.234,26.85328322,,,,,,,,,transit,2016,16/05/10,19 26 04,+42 14 54,,0.87,0.83,-0.01,5315,,Confirmed planets
Kepler-951 b,0,,0.499,71.52530845,,,,,,,,,transit,2016,16/05/10,19 10 57,+38 06 52,,0.77,0.73,-0.01,4834,,Confirmed planets
CoRoT-21 b,0,2.26,1.3,2.72474,0.0417,0,,,,86.8,1867,,transit,2011,11/12/13,06 44 12.64,-00 17 57.06,,1.29,1.945,,6200,,Confirmed planets
KIC 6185331 b,0,,0.72,49.76971,0.2672,,,,,89.2,,,transit,2011,11/09/22,18 57 06,+41 32 06,,1.027,1.27,0.11,,,Confirmed planets
Kepler-1273 b,0,,0.222,28.625653,,,,,,,,,transit,2016,16/05/10,19 03 13,+44 52 24,,0.94,0.91,0.03,5566,,Confirmed planets
KMT-2015-1 b,0,2.2,,,,,,,,,,,microlensing,2015,15/07/22,17 58 39.01,-28 01 54.1,8200,0.18,,,,,Confirmed planets
Kepler-58 b,0,,0.25699,10.218558,,,,,,,,,transit,2014,14/02/26,19 45 26,+39 06 54,1302.83,1.04,1.127,,6099,,Confirmed planets
Kepler-58 c,0,,0.24241,54.155743,,,,,,,,,transit,2014,14/02/26,19 45 26,+39 06 54,1302.83,1.04,1.127,,6099,,Confirmed planets
Kepler-58 d,0,,0.26792,40.101371,,,,,,,,,transit,2014,14/02/26,19 45 26,+39 06 54,1302.83,1.04,1.127,,6099,,Confirmed planets
Kepler-1166 b,0,,0.151,33.2406882,,,,,,,,,transit,2016,16/05/10,19 21 24,+50 54 10,,0.9,0.86,-0.02,5446,,Confirmed planets
OGLE-2012-BLG-0950L b,0,0.11,,,2.7,,,,,,,,,2016,17/01/31,18 08 05,-29 16 06,3000,0.56,,,5500,,Confirmed planets
Kepler-245 b,0,,0.2342,7.49019,,,,,,,,,transit,2014,14/02/26,19 26 33,+42 26 10,919.92,0.777,0.795,,5100,,Confirmed planets
Kepler-245 d,0,,0.27612,36.277108,,,,,,,,,transit,2014,14/02/26,19 26 33,+42 26 10,919.92,0.777,0.795,,5100,,Confirmed planets
Kepler-245 c,0,,0.19866,17.460812,,,,,,,,,transit,2014,14/02/26,19 26 33,+42 26 10,919.92,0.777,0.795,,5100,,Confirmed planets
Kepler-245 e,0,,0.156,3.21982106,,,,,,,,,transit,2016,16/05/10,19 26 33,+42 26 10,919.92,0.777,0.795,,5100,,Confirmed planets
Kepler-1073 b,0,,0.205,8.67888593,,,,,,,,,transit,2016,16/05/10,19 36 37,+38 13 59,,1,1,0,5792,,Confirmed planets
Kepler-1073 c,0,,0.146,4.02582254,,,,,,,,,transit,2016,16/05/10,19 36 37,+38 13 59,,1,1,0,5792,,Confirmed planets
Kepler-559 b,0,,0.322,17.58752333,,,,,,,,,transit,2016,16/05/10,19 46 33,+43 48 10,,0.96,0.95,0.03,5630,,Confirmed planets
Kepler-782 b,0,,0.286,158.6853308,,,,,,,,,transit,2016,16/05/10,19 15 28,+47 45 34,,0.98,1.01,-0.14,5867,,Confirmed planets
Kepler-1629 b,0,,0.069,3.87595807,,,,,,,,,transit,2016,16/05/10,18 40 50,+43 46 27,,1.01,1.01,0.05,5776,,Confirmed planets
